job_index,title,company,city,skill
0,Data Analyst,Assured Guaranty,,R
1,Summer Analyst - Enterprise Data and Analytics,Rockefeller Capital Management,,Api
1,Summer Analyst - Enterprise Data and Analytics,Rockefeller Capital Management,,R
2,Analyst - Private Data DIG,BlackRock Investments,,R
3,Data Analyst,University of North Texas,,R
4,ETSB Data Analyst,County of DuPage,,R
5,Configuration Analyst,Delta Dental of Wisconsin Inc,,R
6,Credit Data Analyst,First Horizon,,R
7,Business Solutions Analyst,Cerris,,R
8,Reinsurance Business Analyst,Aon,,R
9,Reinsurance Business Analyst,Aon,,R
10,School Improvement Data Analyst,Rondout Valley Central School District,,R
11,Security Data Analyst 5.4,Rivet,,R
12,Business Analyst,Cogent People Inc,,R
13,"Data Analyst – Mclean, VA – W2",Luzon Technologies,,R
14,Business Analyst (DPS),Link Technologies,,R
15,Systems Analyst,Arkansas State University,,R
